prompt,quality,metadata,avg_rating,num_responses,agreement_ratio,raw_responses,kind,cluster_description,topic,messages
"I am going to give you some information I would like you to read - https://www.brightlocal.com/learn/google-business-profile/optimization/google-q-and-a/

Please write in English language.","[{'user_id': '944506fb-b86a-4d65-94a3-fe752d79b476', 'value': '3', 'status': 'submitted'}]","{""source"": ""ewof/sharegpt-instruct-unfiltered-deduped"", ""kind"": ""human"", ""evolved_from"": null}",4.0,1,1.0,[4],human,SEO & Content Marketing,Business and Marketing,"[{'content': 'I am going to give you some information I would like you to read - https://www.brightlocal.com/learn/google-business-profile/optimization/google-q-and-a/\n\nPlease write in English language.', 'role': 'user'}]"
"Act as a smart employee. I will give you the title of a task or objective. You will respond with:
1. Suggested acceptance criteria (JSON Label: ""AC"")
2. Suggested success criteria (JSON Label: ""SC"")
3. Suggested high-level steps (JSON Label: ""STP"")
Provide the response as a JSON array.

Here is the item title: 
""Improve customer service center performance""","[{'user_id': 'dec68aa0-6aef-4950-88be-734d5a8e8320', 'value': '2', 'status': 'submitted'}]","{""source"": ""ewof/sharegpt-instruct-unfiltered-deduped"", ""kind"": ""human"", ""evolved_from"": null}",3.0,1,1.0,[3],human,Software Project Management & SaaS Business Models,Software Development,"[{'content': 'Act as a smart employee. I will give you the title of a task or objective. You will respond with:\n1. Suggested acceptance criteria (JSON Label: ""AC"")\n2. Suggested success criteria (JSON Label: ""SC"")\n3. Suggested high-level steps (JSON Label: ""STP"")\nProvide the response as a JSON array.\n\nHere is the item title: \n""Improve customer service center performance""', 'role': 'user'}]"
Seismologists: How do you determine whether an earthquake was naturally occurring or if it was human induced?,"[{'user_id': '739172f3-48d2-4e72-b0d8-76f2ea8a382d', 'value': '2', 'status': 'submitted'}
 {'user_id': '33e4b415-177d-4421-b62d-f6839090056e', 'value': '4', 'status': 'submitted'}]","{""source"": ""ewof/sharegpt-instruct-unfiltered-deduped"", ""kind"": ""human"", ""evolved_from"": null}",4.0,2,0.37499999999999994,[3 5],human,Mathematics & Algebra,Math,"[{'content': 'Seismologists: How do you determine whether an earthquake was naturally occurring or if it was human induced?', 'role': 'user'}]"
Can we talk about me?,"[{'user_id': '1ff3095a-2d92-42f2-b319-8258a77956e6', 'value': '1', 'status': 'submitted'}]","{""evolved_from"": null, ""kind"": ""human"", ""source"": ""ewof/sharegpt-instruct-unfiltered-deduped""}",2.0,1,1.0,[2],human,Mindfulness & Workplace Diversity,Health and Wellness,"[{'content': 'Can we talk about me?', 'role': 'user'}]"
"Outline the steps necessary to multiply two numbers when one is a fraction and the other an integer, to understand the concept of multiplication with mixed number types.","[{'user_id': 'f062b52f-bee7-4eb8-8947-cc29ab4fd3ca', 'value': '4', 'status': 'submitted'}
 {'user_id': '0583afc2-2cd8-43b6-a61b-d73dbf2ad9d9', 'value': '3', 'status': 'submitted'}]","{""source"": ""argilla/distilabel-reasoning-prompts"", ""kind"": ""synthetic"", ""evolved_from"": null}",4.5,2,0.37499999999999994,[5 4],synthetic,Data Handling & Parsing Techniques,Software Development,"[{'content': 'Outline the steps necessary to multiply two numbers when one is a fraction and the other an integer, to understand the concept of multiplication with mixed number types.', 'role': 'user'}]"
"Grace VanderWaal was announced as the winner on September 14, 2016, making her the second female act and the second child act to win the show since season 1. Mentalist duo, The Clairvoyants, placed second, marking the first time that females placed in the top two positions. Magician Jon Dorenbos, the NFL Long Snapper for the Philadelphia Eagles, placed third.

Who won america's got talent 2016 season 11? Okie... think carefully first, then make a decision:","[{'user_id': '4c87ea17-622d-44b2-9797-7bc4049ba844', 'value': '3', 'status': 'submitted'}]","{""source"": ""flan_v2_cot"", ""kind"": ""synthetic"", ""evolved_from"": null}",4.0,1,1.0,[4],synthetic,Basketball Strategy & Educational Response Generation,Others,"[{'content': ""Grace VanderWaal was announced as the winner on September 14, 2016, making her the second female act and the second child act to win the show since season 1. Mentalist duo, The Clairvoyants, placed second, marking the first time that females placed in the top two positions. Magician Jon Dorenbos, the NFL Long Snapper for the Philadelphia Eagles, placed third.\n\nWho won america's got talent 2016 season 11? Okie... think carefully first, then make a decision:"", 'role': 'user'}]"
"As a rocket designer, you are tasked to create a spacecraft that can transport a satellite into the orbit around Mars. The payload should be 5000 kilograms, and it should reach an altitude of no less than 500 kilometers above the Martian surface. Your team has proposed two rocket designs, each with unique technical specifications. Rocket A has a fuel capacity of 100,000 liters and a thrust of 500,000 Newtons, standing at 50 meters tall with a diameter of 10 meters. Rocket B has a fuel capacity of 150,000 liters and a thrust of 600,000 Newtons, towering at 60 meters tall with a diameter of 12 meters. Considering these specifications, which rocket design would you select for the mission and why? Please elaborate on the multiple-step reasoning, including the expected acceleration, velocity, and gravitational pull of the spacecraft. Moreover, take into account the possible weather conditions and any other factors that may affect the success of this mission.","[{'user_id': '5c9ed3c9-0fe3-4465-a71e-6ce777dca874', 'value': '4', 'status': 'submitted'}]","{""source"": ""evol_instruct"", ""kind"": ""synthetic"", ""evolved_from"": null}",5.0,1,1.0,[5],synthetic,Generative Art & Virtual Reality,Literature and Arts,"[{'content': 'As a rocket designer, you are tasked to create a spacecraft that can transport a satellite into the orbit around Mars. The payload should be 5000 kilograms, and it should reach an altitude of no less than 500 kilometers above the Martian surface. Your team has proposed two rocket designs, each with unique technical specifications. Rocket A has a fuel capacity of 100,000 liters and a thrust of 500,000 Newtons, standing at 50 meters tall with a diameter of 10 meters. Rocket B has a fuel capacity of 150,000 liters and a thrust of 600,000 Newtons, towering at 60 meters tall with a diameter of 12 meters. Considering these specifications, which rocket design would you select for the mission and why? Please elaborate on the multiple-step reasoning, including the expected acceleration, velocity, and gravitational pull of the spacecraft. Moreover, take into account the possible weather conditions and any other factors that may affect the success of this mission.', 'role': 'user'}]"
what's the best used cars I can get for 10k?,"[{'user_id': '99a4bc7d-3e95-4c18-a8f1-26043abf98d5', 'value': '2', 'status': 'submitted'}]","{""evolved_from"": null, ""kind"": ""human"", ""source"": ""OpenAssistant/oasst2""}",3.0,1,1.0,[3],human,Literature & Cinema,Literature and Arts,"[{'content': ""what's the best used cars I can get for 10k?"", 'role': 'user'}]"
"Can you create a simile in R that incorporates the words 'rain' and 'sun'? Please use the following code as input:
rain <- c('heavy', 'gentle', 'drizzling')
sun <- c('bright', 'blazing', 'warm')
simile <- paste0(sample(rain,1), ' as the ', sample(sun,1), ' sun')
print(simile)","[{'user_id': '99a4bc7d-3e95-4c18-a8f1-26043abf98d5', 'value': '4', 'status': 'submitted'}]","{""source"": ""evol_instruct"", ""kind"": ""synthetic"", ""evolved_from"": null}",5.0,1,1.0,[5],synthetic,Literature & Cinema,Literature and Arts,"[{'content': ""Can you create a simile in R that incorporates the words 'rain' and 'sun'? Please use the following code as input:\nrain <- c('heavy', 'gentle', 'drizzling')\nsun <- c('bright', 'blazing', 'warm')\nsimile <- paste0(sample(rain,1), ' as the ', sample(sun,1), ' sun')\nprint(simile)"", 'role': 'user'}]"
What kinds databases do sales use?,"[{'user_id': '7042ec82-7919-4fc3-b019-53363f5e70f9', 'value': '3', 'status': 'submitted'}
 {'user_id': 'e2bdd868-f28e-46fc-9254-a6ec1e291889', 'value': '2', 'status': 'submitted'}]","{""source"": ""ewof/sharegpt-instruct-unfiltered-deduped"", ""kind"": ""human"", ""evolved_from"": null}",3.5,2,0.37499999999999994,[4 3],human,Bash Scripting & Database Management,Software Development,"[{'content': 'What kinds databases do sales use?', 'role': 'user'}]"
