en_toxic_comment,en_neutral_comment
he had steel balls too !,he was brave too!
"dude should have been taken to api , he would be right at home with all the other knuckleheads there",It would have been good if he went to api. He would fit in.
"im not gonna sell the fucking picture , i just want to contribute to the fucking article .","I'm not gonna sell the picture, i just want to contribute to the article."
the garbage that is being created by cnn and other news agencies is outrageous .,the news that is being created by cnn and other news agencies is outrageous.
the reason they dont exist is because neither is a pathological liar like trump .,The reason they don't exist is because neither lies like trump
i hope they beat each other silly .,I think they beat each other
no good bastards that we are and we are unrepentant about it .,no good people that we are and we are unrepentant about it
stop the coverage and let em rot .,kindly stop the coverage
delete the page and shut up,please delete the page
honestly catcalling really sounds stupid .,It's not wise to catcall frankly.
every time you flag the post like a coward you make my point .,Every time you flag a post you make a point
only to replaced by another braindead consensus .,Only to replaced by another consensus.
this is a free country that protectsamendment rights from little commies like you .,This is a free country.
more proof that liberalism might be a mental disorder .,more proof that liberalism might be a problem
it would be stupid not to .,it wouldn't be intelligent not to.
"i was just feeding him back his own , hypocritically selfrighteous words .",I was just feeding him back his own words.
the police dont have time for this crap .,The police have no time for this.
"i want you all to myself , you sexy beast .","i want you all to myself , honey ."
"if any of the cry babies who dont respect democracy come , it will be the stupid drain","If any of the cry babies who dont respect democracy come , it will be the bad drain."
the stupid dems cheered when a sp was appointed .,The dems cheered when a sp was appointed.
some idiots put that to overshadow the war .,Some people put that to overshadow the war.
"disgusting , immoral people , rightwing extremists , who should be driven out of office asap .",immoral people who should be driven out of office asap .
"hello , you sexy little lovehole ! .","Hello , you are so beautiful ! ."
neither will anything change from this crap .,neither will anything change from this.
im here reading the usual garbage posts from the usual right wing suspects .,Im reading the posts from the right wing suspects
time to pull this rubbish .,Time to attend to this issue.
you have neither the honesty nor the maturity to admit that you said something stupid .,You have neither the honesty nor the maturity to admit that you said something wrong.
"the same government that dont know its elbow from their ass , that cant even manage a shebeen properly .",The same government can't even manage a club properly.
what a chicken crap excuse for a reason .,what a bad excuse for a reason.
the election of van der bellen was a victory for stupidity and cultural suicide .,the election of van der bellen was a victory for being unknowledgeable and cultural suicide .
